Galaxy,RA,DEC,RA_deg,Dec_deg,z,Distance [Mpc],Type,Morpho,StarForming,StarBurst,AGN,Interacting,Merging,Merger Class,Radio Structure,log(L IR),qIR,SFR [Mo/yr],log(M*),log(M BH),Tags,,References,VLA-A-S,VLA-A C,VLA-A X,VLA-A Ku,VLA-A K,VLA-A Ka,Sigma 33GHz [mu Jy/B],Flux [mJy],LAS [arcsec]*10
NGC 0695,"""01 51 14.0""","""+22 34 55""",27.809333,22.582361,0.032472,126.7,"""LIRG"",'SF','',''","S0/P','','m'","U,T,""""","U,U,""""","U,U,""""","U,U,T,F","U,U,F,F",,,11.69,,,11.03,8.9,"#unknown,#spiral-arms,#minor-merger,",,"Duho Kim et al 2019','Joel Leja et al 2018','K. L. Larson et al 2016','N. Torres-Albà et al 2018'",,,,,,,,66,52
III Zw 035,"""01 44 30.52""","""+17 06 07.9""",26.1271,17.101,0.0274,119,""""",'SB',""LINER2""",""""",M,""G-G""",""""",T,""""",""""",T,""""",""""",T,""""","T,T,"""",","T,T,""""",,,11.64,,,10.25,8.59,"#merging,#commom-envelope,#pair,#composite,#early-merger,#liner2",,"S. Haan et al 2011',""Joel Leja et al 2018"",""Omaira González-Martín et al 2017""",14A-471,AL746,,14A-471,,"14A-471, AL756",31,40,28
VV 705/Mrk 848,"""15 18 06.7""","""+42 44 41""",229.52558,42.74585,0.04,183,""""","""","""","""","""",""AGN""",""""","""",""M"",""M"","""",""""",""""","""","""","""","""",""T""",""""","""","""","""",""T""",""""","""","""","""",""T"",""T""",""""",""T"",""T"",""T"",""""",""""",T,""T"",""T"",""""",,,11.92,,,10.86,,"#merging,#major-merger,#pair,#highly-disturbed",,"""S. Haan et al 2011"",""K. L. Larson et al 2016"",""D.-C. Kim et al 2013"",""S. Stierwalt et al 2013"",""Hai Fu et al 2018"",""M. Perna ET AL 2017""",,"AL746, 19A277",,,,AL746,,47.8,105
MCG+12-02-001,,,,,0.0157,70.6,"""LIRG"","""",""""","""M"",""""",""""",""F"",""""",""""",""F"",","""T"",""T"",""""","""T"","""",""T""","""T"","""",""T""",,""""","""",""TRIPLE"",""""",11.5,,50,10.61,7.04,"#agn,#interacting,#major-merger,#triple",,"""Satoshi Yamada et al 2021"",""D. Asmus et al 2020"",""﻿N. Torres-Alba et al 2018"",""﻿Andreea O. Petric et al 2018""",22A-314 np,,,22A-314 np,,,,113.8,
UGC 02369,"""02 54 02""","""+14 58 15""",,,,124.8,"""LIRG,AGN,HII""",,,,,,,,"""COMPACT""",11.66,2.68,,,,,,"""E. Vardoulaki et al 2015""",14A-471,,,14A-471,,16A-204,,50,60
CGCG 436-030,,,,,0.031,134,"""SF""","""PEC""","""T"",""""","""F"",""""","""F"",""""",""""",""T""",""""",""T""",,,11.69,2.46,,,8.23,"#starforming,#merging,#going-merging",,"""Michael J. I. Brown et al 2014"",""D.-C. Kim et al 2013"",""﻿S. Haan et al 2011""",14A-471,AL746,,14A-471,,"14A-471, AL756",26,49.8,50
IRAS F03359+1523,,,,,,146.9,"""LIRG"","""",”COMP/HII”",""""",""M"",””",""""","""",””",""""","""",”T”",""""","""",”T”",""""",""T""",""""",""T""",,,11.53,2.85,37,,,#merging,,"""Wiphu Rujopakarn et al 2011"",""Eric J. Murphy et al 2013""",14A-471,,,14A-471,,16A-204,,19.4,65
VII Zw 031 ,05 16 46.44,+79 40 12.6,,,0.0536,240,"“”,”SF”,””,”SB”,””,”SF”","“”,””,”E”,””,””,””","“”,”T”,””,””,””,”T”","“”,””,””,”T”,””,””","“”,””,””,””,””,””","“F”,””,””,””,”F”,””","“F”,””,””,””,”F”,””",0,"“”,””,””,””,””,””",11.99,2.28,66,,8.81,"#unknown-interaction,#LIRG,#SB,#OA,#HII,#sb-center,#ULIRG",,"“S. Haan et al 2011”,”K. Iwasawa et al 2011”,”Jun-Jie Jin et al 2019”,”Fei Li et al 2021”,”D.-C. Kim et al 2013”,”S. Juneau”",,AL746,,,,AL746,39,41,
IRAS 05223+1908,05 25 16.30,+19 10 45.0,,,,128,“”,“YS”,“”,“”,“”,“”,“”,0,“”,11.65,,,,,"#young-stellar,#not-LIRGI,#unknown",,"“Chu, Jason K et al 2017”",14A-471,,,14A-471,,14A-471,,,
MCG+08-11-002 ,05 40 43.7, +49 41 41,,,0.0195,77.2,“LIRG”,“Sbab”,“”,“”,“”,“F”,“T”,d,””,11.41,2.61,97.2,,-1,"#unknown,#spiral-barred,#complex#possible-SB,#old-SB,#clumpy-nuclear,#late-stage-merger",,“Ruben Herrero-Illana et al 2017”,,,"12B-105,11A-160",,,,,51,
NGC2623 ,08 38 24.087,25 45 16.67,,,0.0185,84.1,"“LIRG”,””,””,””,””,””,”COMP/LINER/Sey2”","“M”,””,””,”M4”,””,”M5”,””","“”,””,””,””,””,””,””","“”,””,””,””,”T”,””,””","“”,”T”,”T”,””,””,”T”,”T”,””","“”,””,””,””,””,””,””","“”,””,””,”T”,””,”T”,””",5,"“SINGLE-OBSCURED”,””,””,””,””,”SINGLE”,””",11.6,2.73,,,-1,"#bipolar-outflow,#single,#obscured-nucleae,#major-merger,#SB,#Sey2,#AGN,#COMP,#LINER,#obscured-AGN,#peculiar",,"“D.-C. Kim et al 2013”,”G. Risaliti et al 2000”,”D. Lutz et al 2020”,”K. L. Larson et al 2016”,”Fei Li et al 2021”,”Vivian U et al 2019”,”E. Vardoulaki ET AL 2015”",,,,,,,,98.5,70
IRAS F08572+3915 ,09 00 25.361,39 03 55.31,,,0.0582,264,"“CT”,””,”Sy2”","“”,””,””","“”,””,””","“”,””,””","“”,””,”T”","“”,”T”,”T”","“”,”T”,”T”",3,"“”,””,”COMPACT-DOUBLE”",12.16,,,,,"#compton-thick,#ULIRG,#compact,#peculiar",,"“Sibasish Laha et al 2018”,”S. Haan et al 2013”,”C. Cicone et al 2014”",,"22A-263 np, 22A-238 np",,,,,27,4.5,11.6
MCG+05-06-036 ,,,,,,,,,,,,,,,,,,,,,,,,22A-314 np,,,22A-314 np,,22A-314 np,,49,
IRAS F03359+1523 ,,,,,,,,,,,,,,,,,,,,,,,,14A-471,,16A-204,14A-471,,16A-204,,,
UGC 04881 ,,,,,,,,,,,,,,,,,,,,,,,,22A-314 np,,,22A-314 np,,,,31,92
UGC 05101 ,,,,,,,,,,,,,,,,,,,,,,,,,"AL746, 19A-076",,,,,25,150,75
IRAS F10173+0828 ,,,,,,,,,,,,,,,,,,,,,,,,14A-471,,20B-313,14A-471,,14A-471,,9.3,32
IRAS F10565+2448 ,,,,,,,,,,,,,,,,,,,,,,,,,22A-238 np,,,,,,50,54
MCG+07-23-019 ,,,,,,,,,,,,,,,,,,,,,,,,,AL746,,,,,29,24,83
IC2810,,,,,,,,,,,,,,,,,,,,,,,,"14A-471, 22A-454 np",22A-454 np,22A-454 np,"20B-313,14A-471, 22A-454 np",22A-454,"14A-471, 22A-454 np",,25,15
NGC3690,,,,,,,,,,,,,,,,,,,,,,,,22A-314 np,"19A-076,19A-044, AL746","12B-105, 11A-160",22A-314 np,,,25,658,280
UGC08058,,,,,,,,,,,,,,,,,,,,,,,,,"22A-238 np,14A-460, AL746",14A-460,, 14A-460,15A-101,25,296,60
VV 250a,,,,,,,,,,,,,,,,,,,,,,,,22A-314 np,AL746,,22A-314 np,,,24,50,45
UGC 08387 ,,,,,,,,,,,,,,,,,,,,,,,,,AL746,"12B-105, 11A-160",,,,19,101,70
NGC 5256 ,,,,,,,,,,,,,,,,,,,,,,,,22A-314 np,"21B-194 np, 20B-170",,22A-314 np,15A-297,,,113,150
UGC 8696/MRK273,,,,,,,,,,,,,,,,,,,,,,,,22A-426 np,"22A-238 np, AL746, 22A-426 np",22A-426 np,,,,26,143,60
VV 340a ,,,,,,,,,,,,,,,,,,,,,,,,,AL746,,,,AL746,23,74.6,110
IRAS F15250+3608 ,,,,,,,,,,,,,,,,,,,,,,,,,"22A-238 np,  AL746",,,,AL746,20,13.8,4
Arp220/UGC 9913,,,,,,,,,,,,,,,,,,,,,,,,11A-231,"AL746, 11A-231,19A-076",,19A-361,16B-316,"AL746, 11A-112",21,324,60
NGC 6090 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,140
IRAS F17132+5313 ,,,,,,,,,,,,,,,,,,,,,,,,22A-314 np,AL746,,22A-314 np,,"AL746, 22A-314 np",18,25.8,65
NGC6670A/B,,,,,,,,,,,,,,,,,,,,,,,,22A-314 np,,,22A-314 np,,22A-314 np,,66.6,
NGC 6786 ,,,,,,,,,,,,,,,,,,,,,,,,22A-314 np,,,22A-314 np,,22A-314 np,,36,
IRAS 19542+1110 ,,,,,,,,,,,,,,,,,,,,,,,,14A-471,AL746,,14A-471,,"AL746, 14A-471",21,20,
IRAS 20351+2521 ,,,,,,,,,,,,,,,,,,,,,,,,22A-314 np,,,22A-314 np,,,,42,
CGCG 448-020/ Zw96,,,,,,,,,,,,,,,,,,,,,,,,14A-471,AL746,,14A-471,,"AL746, 14A-471, 15A-101",23,36,
IRAS 21101+5810 ,,,,,,,,,,,,,,,,,,,,,,,,,AL746,,,,AL746,27,9.8,20
NGC 7469 ,,,,,,,,,,,,,,,,,,,,,,,,14A-471,,20B-211,14A-471,,14A-471,,169,
IC 5298 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,65
NGC 7674 ,,,,,,,,,,,,,,,,,,,,,,,,14A-471,,,14A-471,,14A-471,,209,
IRAS F23365+3604 ,,,,,,,,,,,,,,,,,,,,,,,,,"AL746, 22A-238 np",,,,AL746,27,24.6,6
IRAS 23436+5257 ,,,,,,,,,,,,,,,,,,,,,,,,22A-314 np,,,22A-314 np,,,,18.8,
Mrk 331,,,,,,,,,,,,,,,,,,,,,,,,22A-314 np,,,22A-314 np,,,,67.6,80
