Galaxy ID,C_FluxDensity[Jy],C_q,C_FluxDensity_eMERLIN[Jy],C_FluxDensity_Ned[Jy],C_FluxDensity_Joint[Jy],LogIR1,FIR_Condon,q-factor,Physical Scale[kpc / arcsec],ac,Object,Alternative Name,Alternative Name2,SFR Mixed [Mo/yr],SFR Goals,SFR [Paspaliaris et al 2021],SFR Pereira-Santaella,SFR_Ilse De Looze,SFR_Joint_or_Best,S1.4,Log(L(1.4))
MCG +12-02-001,0.0316,2.95,,,0.0316,11.29,1.08E-12,2.402993337,,,MCG +12-02-001,IRAS F00506+7248,,83,54.49,,,33.11,83,113.8,22.75021116
CGCG 436-030,0.0186,,,,0.0186,11.55,4.70E-13,2.400839724,0.61,-0.72,CGCG 436-030,,,,85.87,,,70.79,146,49.8,22.94800853
III Zw 035,0.0254,,,,0.0254,11.52,6.11E-13,2.608802305,0.547,-0.5,III Zw 035,IRAS F01417+1651,,,,51.23,,69.18,51.23,40.1,22.73950433
NGC 0695 ,,,,,,11.49,4.18E-13,2.172819013,,,NGC 0695,IRAS F01484+2220,,,84.64,76,,46.77,76,74.8,23.15737198
UGC 02369,,,,,,11.44,4.03E-13,2.341301319,,,UGC 02369,,,,,,,70.79,70,50.9,23.0238725
MCG +05-06-036,,,0.00402,,0.00402,11.46,3.59E-13,2.274908044,,,MCG +05-06-036,,Mrk 1034NE,,,,,61.22,61.22,49,22.94040565
IRAS F03359+1523,,,,,,11.4,2.86E-13,2.594038874,0.69,,IRAS 03359+1523,,UGC 2369,37,,22,,58.88,37,19.4,22.63985717
VII Zw 031 ,0.0125,,,,0.0125,11.84,3.06E-13,2.295048856,,-0.91,VII Zw 031,,,66,,,,162,66,41.4,23.35910738
IRAS 05223+1908 ,,,,,,11.3,3.09E-13,,,,IRAS 05223+1908,,,,,,,,,,
MCG+08-11-002 ,,,,,,11.32,7.69E-13,2.605929263,0.391,,MCG +08-11-002,IRAS 05368+4940,,97.2,,,,44.66,97.2,50.8,22.5592405
NGC 2623 ,0.0715,,,,0.0715,11.48,1.10E-12,2.485591066,0.393,,NGC 2623,IRAS F08354+2555,,,,51,,77.62,51,95.7,22.83664763
IRAS F08572+3915 ,0.00444,,,,0.00444,12.01,2.97E-13,3.265856428,,-0.29,IRAS F08572+3915,,,20,,43,,331,20,4.3,22.44307266
UGC 04881,0.0114,,,,0.0114,11.6,3.27E-13,2.375307764,,,UGC 04881,IRAS F09126+4432,,,,104,,68,104,36.8,23.05827953
UGC 05101,0.0615,,,,0.0615,11.87,6.31E-13,1.99499045,0.793,-0.75,UGC 05101,IRAS F09320+6134,,,,187,,223.87,187,170.1,23.70928262
IRAS F10173+0828,,,,,,11.7,2.56E-13,2.83892263,,,IRAS F10173+0828,,,,,87,,117,87,9.9,22.66972948
IRAS 10565+2448,,,,,,11.93,5.82E-13,2.435369526,,,IRAS 10565+2448,,,95,,,,281,95,57,23.32609953
MCG +07-23-019,0.016,,,,0.016,11.51,3.37E-13,2.392730494,,-0.66,MCG +07-23-019,IRAS F11011+4107,,,,99,,66,99,36.4,22.95096529
IC 2810,,,,,,11.5,3.32E-13,2.659911106,,,IC 2810,IRAS F11231+1456,,86.1,,94,,53.7,86.1,19.4,22.67572257
NGC 3690/IC 694,0.276,,,,0.276,11.74,5.08E-12,2.30108741,,,NGC 3690/IC 694,IRAS F11257+5850,,134,,92,134,128,134,677.1,23.26633485
